item_id,date,item,site_id,stance,actor,actor_type,source_type,grounds,frame_summary,representative_quote,confidence,classified_by,source_url
3da18df0-b775-81ba-b7e7-f33df6194de4,2026-09-11,ABC investigation: 27 approved data centres will escape the federal energy and water rules,3da18df0-b775-814f-b3c8-e6d07987415e; 3c818df0-b775-81eb-8935-ccb900394d0e,Neutral or informational,ABC News,Editorial or media,National press,Energy load or grid; Water use; Process / consultation / transparency; Climate or emissions,"ABC analysis of planning records and company documents finds 27 approved-but-unbuilt data centres totalling at least 3.38 GW, against 162 existing facilities at a combined 1.5 GW as at March 2026. Because the proposed federal energy and water rules are not expected to be retrospective, this whole cohort escapes them. The Prime Minister is quoted: 'You can't retrofit. But as well, many of the centres which are under construction tend to be smaller ones.'","You can't retrofit. But as well, many of the centres which are under construction tend to be smaller ones.",0.75,Agent,https://www.abc.net.au/news/2026-09-11/the-ai-data-centres-set-to-escape-planned-restrictions/107097556
3da18df0-b775-81ed-afe0-fb9967d99188,2026-09-04,Tasmanian parliamentary inquiry into AI data centres — submissions close 21 September 2026,3d418df0-b775-8129-906c-c4224be6f87d,Neutral or informational,Parliament of Tasmania,State or federal MP,Parliamentary inquiry submission,Process / consultation / transparency; Energy load or grid; Foreign ownership or sovereignty,Tasmania is running an inquiry into AI data centres with submissions closing 21 September 2026. Hydro Tasmania has said it will make a submission. The inquiry was pushed for on foreign-ownership and energy-allocation grounds and sits directly upstream of the Hydro Tasmania decision on the Firmus 450 MW request.,,0.65,Agent,https://www.abc.net.au/news/2026-09-04/hydro-tasmania-assess-firmus-450-mw-energy-request/107116852
3da18df0-b775-8105-ac69-f5801887e259,2026-09-04,Hydro Tasmania to decide on Firmus request for 450 MW — about 30 per cent of state demand,3d418df0-b775-81a7-8ad0-d8aaa7ecbc2f; 3d418df0-b775-8129-906c-c4224be6f87d,Neutral or informational,Hydro Tasmania; Firmus Technologies,Industry,National press,Energy load or grid; Foreign ownership or sovereignty; Water use; Climate or emissions,"Firmus Technologies has asked Hydro Tasmania for 450 MW across three sites - Launceston, Long Reach in the Bell Bay Advanced Manufacturing Zone, and Wesley Vale. That is roughly 30 per cent of Tasmania's current electricity consumption and would make Firmus the state's largest single user, ahead of Bell Bay Aluminium at 355 MW. A decision is expected by the end of 2026. Firmus has pledged to build 2 MW of new renewable generation for every 1 MW it uses, but says it will initially match with certificates - a pledge, not a status.",,0.7,Agent,https://www.abc.net.au/news/2026-09-04/hydro-tasmania-assess-firmus-450-mw-energy-request/107116852
3da18df0-b775-8129-a120-ceb9e0a4f368,2026-09-02,"Goodman's Project Apollo approved after 541 days, with a single public objection",3da18df0-b775-814f-b3c8-e6d07987415e,Neutral or informational,"NSW Department of Planning, Housing & Infrastructure",Industry or government statement,Industry or government statement,Process / consultation / transparency; Water use,"SSD-74069708 determined on 2 September 2026: 135 MW, ~A$1.365bn, 4-10 Talavera Road Macquarie Park. The application ran 541 days and drew ONE public objection despite being exhibited as State Significant Development. The contrast with Goodman's own Project Mars - same operator, same corridor, 374 submissions - is the point: exhibition is necessary for contestation but plainly not sufficient. The approval specifies large-scale evaporative cooling, which consumes water, in the corridor where Project Mars disclosed 510,009 m3/yr of drinking water.",,0.7,Agent,https://www.datacenterdynamics.com/en/news/goodman-group-gets-green-light-for-135mw-data-center-in-northern-sydney-australia/
3da18df0-b775-8172-889c-d57a640c242f,2026-08-28,Bowen rejects claims of a carve-out after Queensland says it won the data centre energy fight,3c818df0-b775-8198-a195-d26b919d8e84; 3c818df0-b775-81eb-8935-ccb900394d0e,Conditional,"Chris Bowen, federal Energy Minister",State or federal MP,National press,Energy load or grid; Climate or emissions; Process / consultation / transparency,"Two contradictory accounts of the same national cabinet meeting. Queensland and the Northern Territory claimed they would not be forced to mandate renewables for data centres, and the Prime Minister appeared to give ground. Energy Minister Chris Bowen then rejected the idea of a carve-out: states may seek approval to use alternatives such as coal or gas, but the Commonwealth has the final say and the threshold will be 'very high'. Whether the national standard binds Queensland is therefore still unsettled.","States will be able to seek approval to use alternatives like coal or gas, but the Commonwealth will have the final say and the threshold will be very high.",0.7,Agent,https://www.abc.net.au/news/2026-08-28/bowen-says-no-carve-outs-for-states-on-data-centre-power/107089824
3bf18df0-b775-81af-992f-d34d78ac207c,2026-08-17,[2026-08-17] Unresolved site: Conditional (Daniel Mookhey (NSW Treasurer) / Infrastructure NSW),,Conditional,Daniel Mookhey (NSW Treasurer) / Infrastructure NSW,State or federal MP,Industry or government statement,Energy load or grid; Water use; Process / consultation / transparency; Jobs / investment / economic; Environmental or ecological,"NSW government frames data centre growth as needing a structured approval and cost-recovery framework so that expansion (up to 28GW potential capacity sought) proceeds without net cost to consumers/communities, with data centres required to fund their own energy and water infrastructure and meet environmental/efficiency standards.","""Data centres are required to pay for the energy and water infrastructure they require and manage the environmental impacts of operations"" — NSW Data Centre Policy Framework",0.4,Agent,https://www.infrastructure.nsw.gov.au/expert-advice/data-centres
3be18df0-b775-81dc-9dbb-cee559010b7b,2026-08-16,[2026-08-16] AirTrunk Mamre Road: amended EIS on exhibition — submissions close ~28 August 2026,38d18df0-b775-8128-b14a-dea99cd0e77e,Neutral or informational,NSW DPHI / Plan Project Management (applicant),Other,Industry or government statement,Process / consultation / transparency; Energy load or grid; Water use,"The amended Mamre Road Data Centre Campus application (SSD-92743706) is on public exhibition: 3 buildings instead of 6, height cut to 27m, floor area halved — but peak power unchanged at 1.2 GW, with cooling switched to 840 air-cooled chillers. Anyone can lodge a submission before the window closes (~28 Aug 2026).",Peak power consumption remains unchanged at 1.2 GW.,0.7,Agent,https://www.planningportal.nsw.gov.au/major-projects/projects/mamre-road-data-centre-campus
3be18df0-b775-815d-a917-d33876b3322c,2026-08-16,[2026-08-16] Unresolved site: Neutral or informational (Other),,Neutral or informational,,Other,National press,Other,"Article reports on share price movement of Brazilian Rare Earths, a company not linked to any tracked Australian infrastructure site, discussing trading halt and recent gains.","""Brazilian Rare Earths shares halted, up 26% in two weeks: what next?""",0.05,Agent,https://thebull.com.au/news/brazilian-rare-earths-shares-halted-up-26-in-two-weeks-what-next/
3be18df0-b775-81e8-9a82-d62c162d9557,2026-08-12,"[2026-08-12] CEDA NSW data centres forum: Minister Chanthivong frames data centres as economic growth, NSW as ""digital capital""",,Supporting,"NSW Government (Min. Anoulack Chanthivong) with TBH, Ausgrid, Sydney Water, Scyne Advisory",State or federal MP,Industry or government statement,Jobs / investment / economic; Energy load or grid; Water use,"Industry-government forum (Fullerton Hotel, Sydney) positioning data centres as drivers of economic growth and NSW as Australia's digital capital; Ausgrid and Sydney Water on the panel signal grid and water as the framing constraints. Added manually — forums are not captured by the press sweep.",Explore how data centres can drive economic growth and secure NSW as Australia's digital capital.,0.7,Agent,https://my.ceda.com.au/eventdetails/?id=28e3110c-2b9b-4480-862e-92d666f0d6ea
39e18df0-b775-8141-b4f2-f66887786e78,2026-07-15,[2026-07-15] Federal — Albanese unveils data-centre standards in major speech (AAP syndicated),39a18df0-b775-811c-a5c1-eeb5c9cb1fca,Neutral or informational,,Industry or government statement,National press,Energy load or grid; Water use; Climate or emissions; Data or digital sovereignty,"A major government speech unveils new standards for AI and data centres, framing the announcement around sustainability, energy, and digital governance benchmarks for the sector. [Corrected 2026-08-17: item was mistitled as Victoria's Sustainable Data Centre Action Plan — the source reports the PM's federal announcement, not the Victorian plan.]","""Standards for AI, data centres unveiled in major speech.""",0.35,Agent,https://www.ulladullatimes.com.au/story/9310843/standards-for-ai-data-centres-unveiled-in-major-speech/
39e18df0-b775-8157-8f51-dd90ff403621,2026-07-15,[2026-07-15] Unresolved site: Neutral or informational (Other),,Neutral or informational,,Other,National press,Data or digital sovereignty; Energy load or grid,"A major speech has unveiled new standards for AI and data centres, signalling government or industry intent to regulate or benchmark infrastructure performance and accountability.","""Standards for AI, data centres unveiled in major speech.""",0.3,Agent,https://www.oberonreview.com.au/story/9310843/standards-for-ai-data-centres-unveiled-in-major-speech/
39e18df0-b775-819e-b42f-e51a7a47ea34,2026-07-15,[2026-07-15] Unresolved site: Supporting (Lindian Resources),,Supporting,Lindian Resources,Industry,Industry or government statement,Jobs / investment / economic; Climate or emissions,"Lindian Resources announces that independent metallurgical testing has confirmed 98% rare earth recovery rates, framing this as a significant technical milestone validating the viability and competitiveness of their rare earths project.","""Lindian nails 98% rare earths recovery in independent tests.""",0.25,Agent,https://www.brisbanetimes.com.au/business/companies/lindian-nails-98-percent-rare-earths-recovery-in-independent-tests-20260715-p60fl6.html
39e18df0-b775-8155-a581-cf5b2b1d5709,2026-07-15,[2026-07-15] Anthropic / Albanese Government MOU: Supporting (Anthony Albanese),33918df0-b775-811f-96b8-fa9581e584fe,Supporting,Anthony Albanese,State or federal MP,Industry or government statement,Jobs / investment / economic; Climate or emissions; Data or digital sovereignty,"Prime Minister Albanese announces a new AI framework aimed at facilitating data centre development in Australia, framing it as a boost to economic investment, jobs, and Australia's digital future.","""New AI framework for data centres announced"" — Anthony Albanese, as reported by Stock Journal",0.4,Agent,https://www.stockjournal.com.au/story/9310978/anthony-albanese-new-ai-framework-for-data-centres-announced/
39e18df0-b775-8154-9126-f03f150e4eeb,2026-07-15,"[2026-07-15] Federal — Albanese flags crackdown on data-centre energy and water use, AI copyright",39a18df0-b775-811c-a5c1-eeb5c9cb1fca,Conditional,Anthony Albanese,State or federal MP,National press,Energy load or grid; Water use; Climate or emissions; Other,"Prime Minister Albanese signals federal regulatory intervention targeting data centres' energy consumption and water usage, framing unchecked growth of AI-driven infrastructure as a public resource and environmental concern requiring government oversight. [Corrected 2026-08-17: item was mistitled as Victoria's Sustainable Data Centre Action Plan — the source reports the PM's federal announcement, not the Victorian plan.]","""Anthony Albanese signals crackdown on data centres, energy usage and water consumption.""",0.52,Agent,https://www.theage.com.au/politics/federal/albanese-flags-crackdown-on-power-hungry-data-centres-and-ai-copyright-theft-20260715-p60fhm.html
