site_id,name,infrastructure_type,state,latitude,longitude,status,capacity_mw,operator,parent,ultimate_owner,owner_type,ownership_country,tenants,energy_source,planning_pathway,accelerated_via,resource_conditions,public_notice,approval_body,announcement_date,approval_date,announced_investment_aud,governance_flags,community_concern,sovereignty_register,campus_group,confidence,classified_by,source_url,notes,last_edited
33918df0-b775-816a-a94d-c6ea7188e296,China rare earth export controls — Gallium/Germanium,Geopolitical Signal,International,,,Policy Initiative,,,,,,China,,,Not applicable,,,,,,,,,Unknown,,,,,,China's 2023 export controls on gallium and germanium — critical for semiconductors. Triggered global scramble for alternative supply chains. Australia holds significant deposits. Key geopolitical context for AI infrastructure sovereignty.,2026-04-05T11:36:00.000Z
30118df0-b775-8190-8ef6-e8fd12d1e009,China REE Export Restrictions,,International,,,Policy Initiative,,,,,,,,,,,,,,,,,,,,,,,https://stocksdownunder.com/asx-rare-earth-stocks-project-vault/,"China imposed export restrictions April 2025. Second wave paused until November 2026 following Trump-Xi Busan summit. April controls remain in place. China controls ~70% mining, ~90% processing. Window of stability being used by Western nations to build stockpiles. Key risk: restrictions resume late 2026.",2026-02-08T11:44:00.000Z
30118df0-b775-81d0-8eae-db0df6d65194,Project Vault — US Critical Minerals Stockpile,Policy / Regulation,International,,,Policy Initiative,,,,,,United States,,,Not applicable,,,,,,,,,,,,,,https://www.cnbc.com/2026/02/03/rare-earths-stocks-trump-critical-minerals-stockpile-project-vault.html,"Trump's $12B strategic minerals reserve. $10B US EXIM loan + $2B private capital. GM, Boeing, Google among participants. Sent ASX rare earth stocks soaring. Australia positioned as key supplier via US-Australia Critical Minerals Framework ($8.5B package).",2026-02-08T11:44:00.000Z
30118df0-b775-81c8-a236-f42d5fff58ac,US Tariff Floor — Critical Minerals,,International,,,Policy Initiative,,,,,,,,,Not applicable,,,,,,,,,,,,,,https://markets.financialcontent.com/stocks/article/marketminute-2026-2-5-mineral-walls-rare-earth-stocks-slump-as-us-unveils-tariff-floor-to-counter-chinese-dominance,"VP Vance unveiled 'tariff floor' using Section 232. Sets reference prices for critical minerals. Caused sharp selloff — REMX ETF highest volume in a year. Market shift from speculative growth to 'utility-style' regulated sector. Risk: capped profit margins, Chinese retaliation. Bifurcated global supply chain emerging.",2026-02-08T11:44:00.000Z
33918df0-b775-811f-96b8-fa9581e584fe,Anthropic / Albanese Government MOU,Policy / Regulation,National / Federal,,,Policy Initiative,,,,,,USA / Australia,,,Federal assessment,,,,,,,,Transparency deficit; Community consultation lacking,Emerging Concern,,,,,,2026 MOU between Anthropic and Australian government. Key opening case study for placed-based AI sovereignties paper. Raises questions about what sovereign AI means when infrastructure is US-owned.,2026-04-05T11:36:00.000Z
30118df0-b775-81e7-9759-e8fb291de341,Australia Critical Minerals Strategic Reserve,Policy / Regulation,National / Federal,,,Policy Initiative,,,,,,Australia,,,Not applicable,,,,,,,,,,,,,,https://www.argusmedia.com/en/news-and-insights/latest-market-news/2784414-australia-launches-critical-minerals-prospectus,"A$1.2B reserve, operational late 2026. National Offtake Agreements + selective stockpiling. Prospectus covers 78 projects across 14 minerals. Considering price floor mechanism via Export Finance Australia. Primarily supporting antimony, gallium, REE projects.",2026-02-08T11:44:00.000Z
33918df0-b775-8103-99d0-d9aae3ddeefe,Australia Critical Minerals Strategy 2030,Policy / Regulation,National / Federal,,,Policy Initiative,,,,,,Australia,,,Not applicable,,,,,,,,Community consultation lacking,Supportive / Neutral,,,,,,Federal strategy to position Australia as top-5 critical minerals supplier by 2030. Includes $4B Critical Minerals Facility. Key governance frame — public investment without adequate curation risks worse outcomes.,2026-04-05T11:36:00.000Z
33918df0-b775-8112-aebd-da2092fd5dbc,Microsoft Azure — Canberra Region,Data Centre,National / Federal,-35.28,149.13,Producing,200,Microsoft,,Microsoft Corp,Hyperscaler,USA,Microsoft (Copilot); OpenAI (GPT); Australian Government,Renewable (contracted),Federal assessment,,,,"ACT Environment, Planning & Sustainable Development Directorate",2017-08-14,,,FIRB scrutiny,Supportive / Neutral,Rented,,,,https://www.itnews.com.au/news/microsoft-switches-on-azure-in-canberra-488067,Microsoft sovereign cloud region for Australian government. Claims data sovereignty compliance but infrastructure remains US-owned. Key case study in sovereignty washing.,2026-07-26T11:50:00.000Z
3be18df0-b775-81b4-bf7a-d0c5119f57ce,,,New South Wales,,,Application lodged,80,NEXTDC,,NEXTDC Limited (ASX: NXT),Listed / REIT,Australia,,,State assessed,,,,,,,,,Active Opposition,,,0.75,Agent,https://www.planningportal.nsw.gov.au/major-projects/projects/nextdc-s5-data-centre-and-innovation-hub,"Duplicate of the existing ""NEXTDC S5 — City of Ryde"" row, created because the discovery dedupe missed it (headline lacked S5/Ryde tokens). Details merged into the existing row 2026-08-16. Kept so the source URL blocks re-proposal.",2026-08-18T12:40:00.000Z
3dc18df0-b775-8122-b748-c6f38a45a2ab,[PROPOSED] Data centre DA — AUSTRAL (PAN-594877),,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,0.35,Agent,,"Discovered by the pipeline from the NSW ePlanning OnlineDA API (industrial + cost). 575 FIFTEENTH AVENUE AUSTRAL 2179 · Liverpool City Council · Modification Application · status: Under Assessment. Types: Warehouse or distribution centre; Office Premise; Erection of a new structure; Food and drink premise · $41.3M. Lodged 2025-12-16 · no exhibition window recorded. Coordinates (paste to publish): -33.915707372, 150.802960075. REVIEW: confirm it is a data centre, fill Infrastructure Type + coordinates, remove [PROPOSED].",2026-09-15T11:26:00.000Z
